[2025-05-17 17:46:21] Route ID: 1 | Driver: Thomas Angelo | Vehicle: Box Truck | Destination: Empire Bay | Cargo: furniture (883,66 kg)
[2025-05-17 17:49:41] Route ID: 2 | Driver: Ivan Grimes | Vehicle: Mini Truck | Destination: Lost Heaven | Cargo: electronics (585,54 kg)
[2025-05-17 17:49:41] Route ID: 3 | Driver: Arthur Pierson | Vehicle: Box Truck | Destination: Empire Bay | Cargo: food (273,33 kg)
[2025-05-17 17:49:41] Route ID: 4 | Driver: Ezekiel Schrub | Vehicle: Flatbed | Destination: Empire Bay | Cargo: furniture (883,66 kg)
[2025-05-17 17:49:41] Route ID: 5 | Driver: Jackson Schmidt | Vehicle: Flatbed | Destination: Lost Heaven | Cargo: electronics (585,54 kg)
[2025-05-17 18:11:05] Route ID: 10 | Driver: Test Driver | Vehicle: Truck | Destination: San Andreas | Cargo: food (300,00 kg)
[2025-05-19 18:29:20] Route ID: 6 | Driver: Aaron Clay | Vehicle: Box Truck | Destination: Empire Bay | Cargo: furniture (883,66 kg)
[2025-05-19 18:29:21] Route ID: 7 | Driver: Patrick Schmidt | Vehicle: Mini Truck | Destination: Lost Heaven | Cargo: electronics (585,54 kg)
[2025-05-19 18:29:21] Route ID: 8 | Driver: Olivia Martinez | Vehicle: Tanker | Destination: Empire Bay | Cargo: food (273,33 kg)
[2025-05-21 20:57:08] Route ID: 1 | Driver: Candice Walker | Vehicle: Mini Truck | Destination: Liberty City | Cargo: chemicals (526,32 kg)
[2025-05-21 20:57:08] Route ID: 2 | Driver: Lincoln Walker | Vehicle: Van | Destination: Liberty City | Cargo: fuel (371,14 kg)
[2025-05-21 20:57:08] Route ID: 3 | Driver: Carson Schneider | Vehicle: Mini Truck | Destination: Empire Bay | Cargo: electronics (486,14 kg)
[2025-05-21 20:57:08] Route ID: 4 | Driver: Candice Baker | Vehicle: Mini Truck | Destination: Liberty City | Cargo: electronics (735,60 kg)
[2025-05-21 20:57:08] Route ID: 5 | Driver: Lincoln Fitzgerald | Vehicle: Box Truck | Destination: Lost Heaven | Cargo: fuel (461,44 kg)
[2025-05-21 20:57:08] Route ID: 6 | Driver: Olivia Prestley | Vehicle: Box Truck | Destination: Empire Bay | Cargo: fuel (591,89 kg)
[2025-05-21 20:57:08] Route ID: 7 | Driver: Avery Baker | Vehicle: Box Truck | Destination: Lost Heaven | Cargo: fuel (174,20 kg)
[2025-05-21 20:57:08] Route ID: 8 | Driver: Patrick Schneider | Vehicle: Tanker | Destination: Empire Bay | Cargo: chemicals (416,64 kg)
[2025-05-21 20:57:08] Route ID: 9 | Driver: Aaron Clay | Vehicle: Tanker | Destination: New Bordeaux | Cargo: chemicals (799,35 kg)
[2025-05-21 20:57:08] Route ID: 10 | Driver: Patrick Sansavera | Vehicle: Tanker | Destination: New Bordeaux | Cargo: furniture (431,26 kg)
[2025-05-21 22:34:16] Route ID: 11 | Driver: Ashton Grimes | Vehicle: Box Truck | Destination: Lost Heaven | Cargo: electronics (450,00 kg)
